,MAE,RMSE,MAPE (%)
ridge,0.29223869063138447,0.33036618084751196,1.3744141520442814
lasso,0.2914924756121473,0.3273163531871412,1.3724574737645163
ar,0.3013509172314179,0.3298751661723518,1.3837358743108437
rf,0.26197236396933965,0.30665148914259344,1.2080117072509984
