,MAE,RMSE,MAPE (%)
ridge,0.2928154446197916,0.3309233511230541,1.3733874413509528
lasso,0.33406316806716274,0.36681417302715164,1.5323140991229296
ar,0.3013509172314179,0.3298751661723518,1.3837358743108437
rf,0.30144980469427196,0.33784430247260505,1.3619867142881157
sarimax,8.1681611531995e-05,9.930722700427646e-05,0.00039286735446295
